Fuente de tráfico,Visualizaciones interesadas,Porcentaje medio visto (%),Visualizaciones,Tiempo de visualización (horas),Duración media de las visualizaciones,Impresiones,Porcentaje de clics de las impresiones (%)
Total,5682,52.7,16293,36.1033,0:00:20,3769,2.44
Feed de Shorts,5321,48.84,15456,31.9232,0:00:18,,
Búsqueda de YouTube,240,100.43,611,2.3497,0:00:33,3080,2.05
Páginas de canal,46,73.27,103,0.3346,0:00:24,387,5.43
Otras funciones de YouTube,41,41.8,75,0.1955,0:00:15,,
Fuentes externas,12,110.04,16,0.1308,0:00:39,,
Funciones de exploración,8,31.92,8,0.0473,0:00:21,205,3.41
Páginas de hashtags,5,2587.11,11,1.0853,0:13:01,,
Listas de reproducción,5,27.86,5,0.0142,0:00:10,84,1.19
Vídeos sugeridos,2,34.69,2,0.0141,0:00:25,13,0
Páginas de sonido,2,37.67,6,0.0087,0:00:13,,
Directa o desconocida,0,,0,0,,,
