"Date","Video Views","Profile Views","Likes","Comments","Shares"
"14 de julio","0","0","0","0","0"
"15 de julio","0","0","0","0","0"
"16 de julio","0","0","0","0","0"
"17 de julio","0","0","0","0","0"
"18 de julio","0","0","0","0","0"
"19 de julio","0","0","0","0","0"
"20 de julio","0","0","0","0","0"
"21 de julio","0","0","0","0","0"
"22 de julio","0","0","0","0","0"
"23 de julio","0","0","0","0","0"
"24 de julio","0","0","0","0","0"
"25 de julio","0","0","0","0","0"
"26 de julio","0","0","0","0","0"
"27 de julio","0","0","0","0","0"
"28 de julio","0","0","0","0","0"
"29 de julio","0","0","0","0","0"
"30 de julio","0","0","0","0","0"
"31 de julio","0","0","0","0","0"
"1 de agosto","0","0","0","0","0"
"2 de agosto","0","0","0","0","0"
"3 de agosto","0","0","0","0","0"
"4 de agosto","0","0","0","0","0"
"5 de agosto","0","0","0","0","0"
"6 de agosto","0","0","0","0","0"
"7 de agosto","0","0","0","0","0"
"8 de agosto","0","0","0","0","0"
"9 de agosto","0","0","0","0","0"
"10 de agosto","0","0","0","0","0"
"11 de agosto","0","0","0","0","0"
"12 de agosto","0","0","0","0","0"
"13 de agosto","0","0","0","0","0"
"14 de agosto","0","0","0","0","0"
"15 de agosto","0","0","0","0","0"
"16 de agosto","0","0","0","0","0"
"17 de agosto","0","0","0","0","0"
"18 de agosto","19","0","0","0","0"
"19 de agosto","68","0","0","0","0"
"20 de agosto","0","0","0","0","0"
"21 de agosto","0","0","0","0","0"
"22 de agosto","1","3","0","0","0"
"23 de agosto","0","0","0","0","0"
"24 de agosto","1","2","0","0","0"
"25 de agosto","1","2","0","0","0"
"26 de agosto","0","0","0","0","0"
"27 de agosto","2","2","0","0","0"
"28 de agosto","1","1","0","0","0"
"29 de agosto","0","2","0","0","0"
"30 de agosto","0","0","0","0","0"
"31 de agosto","0","0","0","0","0"
"1 de septiembre","0","0","0","0","0"
"2 de septiembre","0","0","0","0","0"
"3 de septiembre","0","0","0","0","0"
"4 de septiembre","5","1","0","0","0"
"5 de septiembre","0","1","0","0","0"
"6 de septiembre","0","1","0","0","0"
"7 de septiembre","0","0","0","0","0"
"8 de septiembre","0","0","0","0","0"
"9 de septiembre","0","0","0","0","0"
"10 de septiembre","0","0","0","0","0"
"11 de septiembre","10","2","0","0","0"
"12 de septiembre","9","1","0","0","0"
"13 de septiembre","0","0","0","0","0"
"14 de septiembre","0","0","0","0","0"
"15 de septiembre","25","5","0","0","0"
"16 de septiembre","0","0","0","0","0"
"17 de septiembre","0","0","0","0","0"
"18 de septiembre","0","0","0","0","0"
"19 de septiembre","6","1","0","0","0"
"20 de septiembre","13","0","0","0","0"
"21 de septiembre","0","0","0","0","0"
"22 de septiembre","0","1","0","0","0"
"23 de septiembre","11","2","0","0","0"
"24 de septiembre","0","0","0","0","0"
"25 de septiembre","0","0","0","0","0"
"26 de septiembre","0","0","0","0","0"
"27 de septiembre","8","1","1","0","0"
"28 de septiembre","19","2","2","0","0"
"29 de septiembre","9","1","0","0","0"
"30 de septiembre","0","1","0","0","0"
"1 de octubre","35","7","0","0","1"
"2 de octubre","0","0","0","0","0"
"3 de octubre","16","2","0","0","0"
"4 de octubre","8","1","0","0","0"
"5 de octubre","7","2","0","0","0"
"6 de octubre","32","4","0","0","1"
"7 de octubre","9","1","0","0","0"
"8 de octubre","3","2","1","0","0"
"9 de octubre","0","0","0","0","0"
"10 de octubre","0","0","0","0","0"
"11 de octubre","9","1","0","0","0"
"12 de octubre","25","2","0","0","0"
"13 de octubre","230","5","7","0","0"
"14 de octubre","18","1","0","0","0"
"15 de octubre","1","0","0","0","0"
"16 de octubre","5","1","0","0","0"
"17 de octubre","5","1","0","0","0"
"18 de octubre","6","0","0","0","0"
"19 de octubre","0","0","0","0","0"
"20 de octubre","22","4","0","0","0"
"21 de octubre","4","1","0","0","0"
"22 de octubre","33","2","0","0","0"
"23 de octubre","0","0","0","0","0"
