Fuente de tráfico,Visualizaciones interesadas,Porcentaje medio visto (%),Visualizaciones,Tiempo de visualización (horas),Duración media de las visualizaciones,Impresiones,Porcentaje de clics de las impresiones (%)
Total,3839,52.02,12020,22.7662,0:00:18,4829,1.84
Feed de Shorts,3482,49.99,11195,20.0147,0:00:17,,
Búsqueda de YouTube,229,67.91,577,1.6792,0:00:24,4095,1.71
Páginas de canal,96,69.99,186,0.7299,0:00:26,653,2.91
Otras funciones de YouTube,20,100.29,40,0.2289,0:00:39,,
Fuentes externas,6,76.54,7,0.0683,0:00:40,,
Notificaciones,3,51.02,5,0.0149,0:00:16,,
Páginas de hashtags,2,86.31,5,0.0212,0:00:37,,
Páginas de sonido,1,93.55,3,0.0085,0:00:29,,
Directa o desconocida,0,,0,0,,,
Vídeos sugeridos,,,,,,5,0
Funciones de exploración,,,,,,73,0
Listas de reproducción,,,,,,3,0
