Contenido,Título del vídeo,Hora de publicación del vídeo,Duración,Visualizaciones,Tiempo de visualización (horas),Suscriptores,Impresiones,Porcentaje de clics de las impresiones (%)
Total,,,,2525,7.6681,7,1025,3.02
tjn-ajTPrB0,Cuando comparas... se nota la diferencia 👀✨,"May 15, 2026",36,1324,5.8305,5,123,1.63
wsVx1DVWsXM,"Puro elemento de calidad        Don Tablero, el aliado del carpintero.","May 19, 2026",25,615,1.0236,1,33,6.06
qpcLdzKnFCw,🔧✨ Producto del mes en Don Herraje:,"May 6, 2026",24,207,0.1978,1,35,5.71
8xWbDkPXXaA,💪🪵 Hoy celebramos a quienes construyen con sus manos y hacen realidad cada proyecto.,"May 1, 2026",36,170,0.1437,0,31,3.23
QAmb-Wlr6M8,🎨✨ Color del mes en Don Tablero: Roble Moro,"May 11, 2026",33,127,0.1527,0,75,2.67
cvA08DARawk,🔲✨ ¿Cómo instalar el Panel FLEX? Paso a paso,"Apr 23, 2026",31,17,0.0344,0,194,2.06
48t9m8vORV8,"Quito, Los Valles, Machachi, Ibarra, Cayambe y Guayaquil. 🪵","Sep 3, 2025",25,11,0.0429,0,12,16.67
qs0LZwQaTbI,En Don Tablero encuentras todo para tus proyectos 🪵🔧,"Sep 9, 2025",63,8,0.0666,1,20,20
NfBHDQEmmhY,😅🪑 Prometió que volvía por las patas… y el mueble sigue esperando.🔩,"Apr 9, 2026",70,6,0.0308,0,49,4.08
B9bMpvCnNpg,DT   Venezuela,"Dec 15, 2025",37,6,0.0241,0,10,20
MQq6YoOfR8k,"Si deseas visitarnos o contactarnos, aquí te dejamos las opciones para hacerlo rápido y sencillo:📍","Mar 11, 2026",66,5,0.0376,0,17,5.88
_WB680o1L7c,🎨✨ Colores del mes en Don Tablero,"Apr 6, 2026",38,5,0.0195,0,21,4.76
DlkOXGRFU_4,HERRAJE DEL MES,"Feb 3, 2026",69,4,0.0092,0,35,2.86
l_X6K71qWX8,¡Encuéntranos en Don Tablero Tumbaco! 📍#DonTablero #Tumbaco #Ubicación #Muebles #Decoración #Hogar,"Nov 25, 2025",40,3,0.0166,0,13,15.38
K8zhhtTjMUk,🎨✨ Colores del Mes en Don Tablero🌳 Roble Moro🏜️ Sahara🌲 Cedro Poro⚫ Negro🏞️ Colina,"Nov 13, 2025",46,3,0.0088,0,20,5
 -qIpZ6RI6Zg,🔲✨ Producto del mes en Don Tablero: Paneles,"Apr 1, 2026",48,2,0.0007,0,19,0
IJ73MofEE6s,📐✨ Aprovecha al máximo cada tablero con nuestro proceso de modulación,"Feb 13, 2026",38,2,0.0158,0,15,0
QE4QNhmTpQc,📍 San Rafael – Video Ubicación¿Buscas llegar rápido a tu sucursal Don Tablero San Rafael?,"Dec 22, 2025",42,2,0.0023,0,11,9.09
fwh1xEM5Pp0,🪵✨ MDF en Don Tablero: precisión que se nota en cada corte,"Mar 17, 2026",46,2,0.0019,0,35,0
LGre_AK2csM,✨ Este mes en Don Tablero tenemos el Herraje del Mes: Organizadores,"Sep 4, 2025",27,1,0.002,0,10,0
8pYqDJb1Vs8,🔩✨ Herraje del Mes en Don Tablero,"Mar 5, 2026",22,1,0.0004,0,14,0
